Channel Name,Channel Handle,Video Title,Video URL,Duration,Views,Contact Email,Twitter/X,Channel URL,Personalized Cold DM (Copy-Paste),Audit Tool URL
Peace Itimi,@PeaceItimiofficial,Paul Onwuanibe on Building a $150M Empire: The Secret Most African Founders Will Never Know!,https://www.youtube.com/watch?v=E7W3hcWPOBo,1:48:57,"127,323 views",Check Channel 'About',@PeaceItimiofficial,https://www.youtube.com/@PeaceItimiofficial,"Hey Peace! Just watched your video 'Paul Onwuanibe on Building a $150M Empire: The Secret Most African Founders Will Never Know!'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
Sequoia Capital,@sequoiacapital,What David Senra Learned Studying 400+ Founders,https://www.youtube.com/watch?v=xXsleu4-kd8,56:52,"101,123 views",Check Channel 'About',@sequoiacapital,https://www.youtube.com/@sequoiacapital,"Hey Sequoia! Just watched your video 'What David Senra Learned Studying 400+ Founders'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
Tetr College of Business and Masters' Union University,Tetr College of Business and Masters' Union University,"103-Minute Masterclass on Business, Wealth & Life | Kevin O'Leary",https://www.youtube.com/watch?v=xgKajEQf21c,1:43:05,"158,235 views",Check Channel 'About',N/A,,"Hey Tetr! Just watched your video '103'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
The BarberShop with Shantanu,@thebarbershopwithshantanu6670,"How Founders Should Think About Product, Brand & Scale | The Founder's Meet: Pune Edition",https://www.youtube.com/watch?v=8Hdx8IGL1sc,52:54,"379,433 views",Check Channel 'About',@thebarbershopwithshantanu6670,https://www.youtube.com/@thebarbershopwithshantanu6670,"Hey The! Just watched your video 'How Founders Should Think About Product, Brand & Scale'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
Raj Shamani,@rajshamani,Building a ₹1000 Cr Brand: What Every Startup Must Know | Shiv Shivakumar | FO463 Raj Shamani,https://www.youtube.com/watch?v=nrVyl0awWsw,1:27:18,"715,662 views",Check Channel 'About',@rajshamani,https://www.youtube.com/@rajshamani,"Hey Raj! Just watched your video 'Building a ₹1000 Cr Brand: What Every Startup Must Know'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
Humans of Bombay,@humansofbombay2801,"Zepto Founders: Stanford Dropouts, Entrepreneurs & Teen Billionaires | Karishma Mehta: Realign EP106",https://www.youtube.com/watch?v=Ye5z_nSyW9M,1:23:24,"230,019 views",Check Channel 'About',@humansofbombay2801,https://www.youtube.com/@humansofbombay2801,"Hey Humans! Just watched your video 'Zepto Founders: Stanford Dropouts, Entrepreneurs & Teen Billionaires'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
BigDeal by Codie Sanchez  and David Senra,BigDeal by Codie Sanchez  and David Senra,Inside the Minds of the Most Successful Founders | David Senra,https://www.youtube.com/watch?v=V2tSsdJsf4I,1:42:57,"74,688 views",Check Channel 'About',N/A,,"Hey BigDeal! Just watched your video 'Inside the Minds of the Most Successful Founders'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
a16z,@a16z,Garry Tan: New Rules for Founders,https://www.youtube.com/watch?v=fsTtKywmWlU,51:28,"97,403 views",Check Channel 'About',@a16z,https://www.youtube.com/@a16z,"Hey a16z! Just watched your video 'Garry Tan: New Rules for Founders'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
Best Of TRS | English,@bestoftrs,STARTUP MASTERCLASS: The Secret to Creating Wealth | UNICORN CRED Founder Kunal Shah,https://www.youtube.com/watch?v=DC2-YFLcPo0,1:10:31,"25,623 views",Check Channel 'About',@bestoftrs,https://www.youtube.com/@bestoftrs,"Hey Best! Just watched your video 'STARTUP MASTERCLASS: The Secret to Creating Wealth'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
The BarberShop with Shantanu,@thebarbershopwithshantanu6670,"Shark Anupam Mittal REVEALS the Past, Present & Future of Investing in India",https://www.youtube.com/watch?v=DZdyUGThPLc,1:49:23,"476,583 views",Check Channel 'About',@thebarbershopwithshantanu6670,https://www.youtube.com/@thebarbershopwithshantanu6670,"Hey The! Just watched your video 'Shark Anupam Mittal REVEALS the Past, Present & Future of Investing in India'. Great episode, but noticed ~4.5s of dead air & slow pacing in the opening hook that might be dragging your retention down. Ran it through our AI rough-cut pruner at https://algorise-ai.surge.sh/#core-3d — scored 93/100 and mapped 18% fluff cut. Happy to send you the ready-to-import XML timeline for Premiere/DaVinci for free if you want to test it! (Or ping our team on Telegram @Aassqqee_bot)",https://algorise-ai.surge.sh/#core-3d
